ItemId,CostPrice,RegularPrice,ItemStatus
II512400FT,460,631.0,True
II512400T,550,755.0,True
II512500T,699,959.0,True
II512600KFT,675,926.0,True
II512600KT,790,1084.0,False
II712700B,1030,1352.0,False
II712700FB,980,1345.0,False
II712700FT,890,1221.0,True
II712700KB,1099,1443.0,False
II712700KFT,970,1331.0,True
II712700KT,995,1366.0,True
II712700T,960,1318.0,True
II912900KFB,1760,2310.0,False
II912900KFT,1640,2153.0,False
II511400B,599,822.0,False
II511400T,480,659.0,True
II711700FB,1099,1443.0,False
II711700T,840,1153.0,False
IG6405B,269,369.0,True
IG6405T,249,342.0,True
II310105FT,199,273.0,True
II310105T,385,528.0,True
II510400FT,329,452.0,True
II510400T,470,645.0,True
II710700KT,999,1371.0,False
II710700T,790,1084.0,False
AMD-R57600XT,750,1029.0,True
AMD-R58500G,715,981.0,False
AMD-R58600G,870,1194.0,False
AMD-R77700T,795,1091.0,True
AMD-R77700XT,1149,1508.0,False
AMD-R7780030,1299,1705.0,True
AMD-R78700G,1270,1667.0,False
AMD-R97900XT,1390,1825.0,True
AMD-R97950X3DT,1970,2586.0,True
AMD-R97950XT,1870,2455.0,True
AMD-R55500T,319,438.0,True
AMD-R55600GT,449,616.0,True
AMD-R55600GTB,540,741.0,False
AMD-R55600T,390,535.0,True
AMD-R55600XT,499,685.0,True
AMD-R75700,699,959.0,False
AMD-R75700GT,690,947.0,True
AMD-R75700X3D,960,1318.0,False
AMD-R75800X,750,1029.0,False
AMD-R75800X3D,1099,1443.0,False
AMD-R75800XT,730,1002.0,False
CLM-B175420,4,6.0,True
CLM-F2126,149,231.0,True
CLM-F2127,116,180.0,False
CLM-F2128,135,209.0,True
CLM-F2150,149,231.0,False
CLM-F2155,159,247.0,True
CLM-F410R,87,135.0,False
CLM-F4111,69,107.0,False
CLM-F6120,349,541.0,False
CLM-F61243,393,610.0,False
CLM-F62200,242,375.0,False
CLM-F70C,34,53.0,False
CLM-F71C,57,88.0,False
CLM-FMA824,410,636.0,False
AN3-A30NAR,59,92.0,True
AN3-A30NEO,49,76.0,True
AN3-A30P,40,62.0,True
AN3-A400I,79,123.0,True
AN3-A400R,109,169.0,True
AN3-A40P,75,116.0,True
AN3-B1700AC,9,14.0,True
AN3-F4001,129,200.0,True
AN3-T120,43,67.0,True
IF-RM1,49,76.0,True
IF-RS1,39,61.0,True
NH-D15,399,619.0,True
NH-D15BK,440,683.0,True
DC-AK620,335,460.0,True
DC-AK620DIG,379,520.0,False
CLM-L2421,299,410.0,False
CLM-L2424,279,383.0,True
CLM-L3602W,353,484.0,False
CLM-L3603,353,484.0,True
AN3-SYM2401,259,355.0,True
AN3-SYM3601,322,442.0,True
AN3-SYM3606,343,471.0,True
AN3-V2400,290,398.0,True
AN3-V3600,333,457.0,True
215-H1000078,519,712.0,True
215-H1001005,740,1016.0,True
215-H10053,349,479.0,True
215-H10058,530,727.0,True
215-H10068,655,899.0,True
215-H10072,650,892.0,True
215-H11559,540,741.0,True
215-H11569,665,913.0,True
215-H1500079,670,920.0,False
215-H1501003,890,1221.0,True
215-H1501006,899,1234.0,False
215-H15054,419,575.0,True
215-H15060,690,947.0,False
215-H15070,799,1097.0,True
215-H15073,850,1167.0,True
215-H1701004,999,1371.0,False
215-H17071,930,1276.0,True
94LC2405,399,548.0,True
94LC2410,399,548.0,False
94LC3602,730,1002.0,False
94LC3610,499,685.0,False
94LC3620,499,685.0,False
CLM-MG-FUZE,39,54.0,True
CLM-MG-ICE,29,40.0,True
CLM-MGMK,29,40.0,False
CLM-MGP2,29,40.0,False
CLM-MGRR,23,32.0,False
KF51648001,210,276.0,True
KF51652401,225,295.0,True
KF5165600R,440,578.0,False
KF5166001,249,327.0,True
KF5166002,249,327.0,True
KF53248001,390,512.0,True
KF53252001,399,524.0,False
KF53252021,369,484.0,False
KF532524002,369,484.0,False
KF5325611,419,550.0,True
KF5326011,443,582.0,False
KF5-326036-RAE,499,655.0,True
KF5-326036W-XE,519,681.0,True
KF5-326040,480,630.0,False
KF5-6460360XE,870,1142.0,True
KF5-6460361AE,469,616.0,False
KF5-646036RAE,980,1286.0,True
KV5-3252100,399,524.0,False
SK5-3260404000,430,564.0,False
CR5-1648000,175,230.0,True
