ItemId,CostPrice,RegularPrice,ItemStatus
ASN-507-086,4490,5626.0,False
ASN-507-122,2980,3734.0,True
ASN-507-131,4670,5852.0,False
ASN-507-139,4150,5200.0,False
ASN-507-154,4290,5376.0,False
ASN-5304-003,3650,4574.0,False
ASN-5304-308,3190,3997.0,True
ASN-6500-135,3270,4098.0,False
ASN-707-078,4550,5701.0,False
ASN-707-131,4690,5877.0,False
ASN-E1504030,899,1127.0,True
ASN-E1504170,899,1127.0,True
DLN-3420-14869,2199,2756.0,True
DLN-3420-6001,1799,2254.0,False
DLN-3420-7001,2199,2756.0,False
DLN-3510-3015,1299,1628.0,False
DLN-3511-5034,1890,2368.0,False
DLN-3520-3009,1269,1590.0,False
HPN-15-2007,1099,1377.0,False
HPN-240-136,1750,2193.0,False
HPN-250-51200,1599,2004.0,True
HPN-250-51216,1699,2129.0,True
HPN-250-711165,1790,2243.0,False
HPN-V16-374500,3999,5011.0,True
HPN-V16-374601,4290,5376.0,True
ASN-515-493,765,959.0,True
TIK-AS-4700,105,163.0,True
TIK-AS-EOS2B,82,127.0,True
TIK-AS-EOS2G,82,127.0,True
TIK-AS-NER,47,73.0,True
TIK-DL-15,63,98.0,True
40AY0090IS,820,1272.0,True
SAML24320,711,967.0,True
SAML27391R,649,883.0,False
SAML27552EM,1040,1415.0,False
SAML32320,1130,1537.0,False
SAML32552,1299,1767.0,True
DLM-AW25230,1320,1796.0,False
DLM-AW2723DF,2250,3061.0,False
DLM-E2424HS,499,679.0,False
DLM-G2722HS,690,939.0,False
DLM-S2421H,469,638.0,False
DLM-S27210,775,1054.0,False
DLM-S3422DWG,1480,2014.0,False
DLM-SE3223Q,999,1359.0,False
DLM-U2722D,1099,1495.0,False
GBM-2790,1999,2720.0,False
MAG-G24IPS,299,407.0,False
MAG-G27PS,389,529.0,False
MAGTV-4KQ43,985,1340.0,False
MAGTV-4KQ85,3799,5168.0,True
MAGTV-55D23,1415,1925.0,True
MAGTV-65D23,1820,2476.0,False
MAGTV-75D23,2660,3619.0,True
65009,39,82.0,True
65150,178,374.0,True
LOG-230,235,365.0,True
ASKM-CW100A,69,107.0,False
US-100,19,29.0,True
18049BK,83,129.0,True
US-200,19,29.0,True
29083F,182,637.0,True
29085F,163,570.0,False
29109F,230,805.0,True
29113F,269,942.0,True
29115F,317,1110.0,True
29254,62,155.0,True
LOG-105,134,208.0,True
US-6000,89,138.0,True
926993,356,552.0,False
41275,25,39.0,True
926154,115,178.0,False
916049,234,349.0,False
CD-AX1500,144,215.0,True
CD-LT500,224,334.0,True
CD-LT500-OD,441,658.0,False
CD-WR1300E,106,158.0,True
N10990,33,79.0,False
APC-1002,319,495.0,False
APC-2200,729,1131.0,True
APC-652,239,371.0,True
APC-802,269,417.0,True
ET-5E700U,269,417.0,True
ET-5E900U,325,504.0,False
