ItemId,CostPrice,RegularPrice,ItemStatus,PriceList
95Z79011,970,1331.0,True,פרטי
95Z79015,840,1153.0,True,פרטי
95Z79020,990,1359.0,True,פרטי
95Z790200,1999,2743.0,True,פרטי
95Z790210,1490,2045.0,True,פרטי
95Z790220,1129,1549.0,True,פרטי
95Z790235,1089,1495.0,True,פרטי
95Z79030,1330,1825.0,True,פרטי
95Z79036,999,1371.0,True,פרטי
95Z79040-1,795,1091.0,True,פרטי
95Z79044,719,987.0,True,פרטי
95Z79050,1899,2606.0,True,פרטי
95Z79400,899,1234.0,False,פרטי
95Z79410,730,1002.0,False,פרטי
95B76000,395,542.0,True,פרטי
95B76005,375,515.0,True,פרטי
95B76011,450,618.0,True,פרטי
95B76020,399,548.0,True,פרטי
95B76040,520,714.0,True,פרטי
95B76048,590,810.0,True,פרטי
95B76050,690,947.0,True,פרטי
95B760510,490,672.0,True,פרטי
95B760520,565,775.0,True,פרטי
95B760530,480,659.0,True,פרטי
95B760533,595,817.0,True,פרטי
95B760560,575,789.0,True,פרטי
95B760565,630,865.0,True,פרטי
95B760570,630,865.0,True,פרטי
95B760575,690,947.0,True,פרטי
95B760575-2,720,988.0,True,פרטי
95B76090,730,1002.0,False,פרטי
95B76102,533,731.0,True,פרטי
95B76111,499,685.0,True,פרטי
95B76121,565,775.0,False,פרטי
95B76133,599,822.0,True,פרטי
95B76134,599,822.0,True,פרטי
95B76140,690,947.0,True,פרטי
95B76145,740,1016.0,True,פרטי
95H61004,299,410.0,True,פרטי
95H61008,309,424.0,True,פרטי
95H61010,430,590.0,True,פרטי
95H61052,319,438.0,True,פרטי
95H61056,329,452.0,True,פרטי
95H51009,252,346.0,True,פרטי
95H51010,255,350.0,True,פרטי
95H51016,249,342.0,False,פרטי
95H41017,262,360.0,True,פרטי
95H41021,252,346.0,True,פרטי
95X29944,960,1318.0,False,פרטי
95A62001,475,652.0,True,פרטי
95A62010,429,589.0,True,פרטי
95A62015,385,528.0,True,פרטי
95B65000,650,892.0,False,פרטי
95B65000-13,650,892.0,True,פרטי
95B65000-3,650,892.0,False,פרטי
95B65010,730,1002.0,True,פרטי
95B65020,799,1097.0,False,פרטי
95B65050,1199,1646.0,False,פרטי
95B65062,899,1234.0,False,פרטי
95B65066,935,1283.0,True,פרטי
95B65072,760,1043.0,False,פרטי
95B65073,760,1043.0,True,פרטי
95B65075,760,1043.0,False,פרטי
